comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_category,handicap,child,month,4,0.0513,0.0789,-0.0277,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,5,0.0897,0.0921,-0.0024,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,6,0.0641,0.1184,-0.0543,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,7,0.0256,0.0658,-0.0401,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,8,0.0769,0.0263,0.0506,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,9,0.1154,0.0921,0.0233,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,10,0.1538,0.0395,0.1144,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,11,0.0641,0.1184,-0.0543,0.257,0.0598,0.993,0.2488
category_vs_category,handicap,child,month,12,0.0897,0.1447,-0.055,0.257,0.0598,0.993,0.2488
category_vs_category,pet,child,month,1,0.0,0.1053,-0.1053,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,2,0.0,0.1053,-0.1053,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,3,0.125,0.0132,0.1118,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,4,0.0,0.0789,-0.0789,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,5,0.0,0.0921,-0.0921,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,6,0.25,0.1184,0.1316,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,7,0.25,0.0658,0.1842,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,8,0.25,0.0263,0.2237,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,9,0.0,0.0921,-0.0921,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,10,0.0,0.0395,-0.0395,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,11,0.0,0.1184,-0.1184,7.0756,0.3384,4.1482,0.666
category_vs_category,pet,child,month,12,0.125,0.1447,-0.0197,7.0756,0.3384,4.1482,0.666
