comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_category,handicap,child,month,4,0.0556,0.1061,-0.0506,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,5,0.0833,0.1117,-0.0284,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,6,0.0833,0.0391,0.0442,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,7,0.1528,0.1173,0.0355,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,8,0.1111,0.1564,-0.0453,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,9,0.1806,0.1117,0.0688,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,10,0.0278,0.0503,-0.0225,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,11,0.0278,0.0447,-0.0169,0.0999,0.0247,0.2071,0.1576
category_vs_category,handicap,child,month,12,0.0556,0.1006,-0.045,0.0999,0.0247,0.2071,0.1576
category_vs_category,pet,child,month,1,0.082,0.0726,0.0093,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,2,0.1148,0.0615,0.0533,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,3,0.0984,0.0279,0.0704,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,4,0.1475,0.1061,0.0414,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,5,0.0984,0.1117,-0.0134,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,6,0.082,0.0391,0.0429,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,7,0.0984,0.1173,-0.019,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,8,0.082,0.1564,-0.0745,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,9,0.0656,0.1117,-0.0462,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,10,0.0328,0.0503,-0.0175,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,11,0.0492,0.0447,0.0045,0.1454,0.0353,0.3801,0.1892
category_vs_category,pet,child,month,12,0.0492,0.1006,-0.0514,0.1454,0.0353,0.3801,0.1892
