comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,categories_clean,Campgrounds & Recreational Vehicle Parks,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Camps-Recreational,0.0,0.0001,-0.0001,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Casinos,0.007,0.0058,0.0011,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Caterers,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Catering,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Clare,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Cocktail Lounges,0.0,0.0003,-0.0003,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Coffeehouses,0.0,0.0002,-0.0002,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Colorado (co),0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Community Organizations,0.0,0.0,-0.0,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Condominium & Townhouse Rental & Leasing,0.0,0.0001,-0.0001,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Condominium Management,0.0,0.0002,-0.0002,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Condominium Operators,0.0,0.0002,-0.0002,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Condominiums,0.0,0.0001,-0.0001,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Condominiums and Townhouses,0.0,0.0001,-0.0001,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Conference & Convention Centers,0.0,0.0008,-0.0008,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Conference Centers,0.0,0.0002,-0.0002,2.157,0.215,3.0312,0.4994
category_vs_rest,handicap,rest,categories_clean,Conference Room,0.0,0.0048,-0.0048,2.157,0.215,3.0312,0.4994
