comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,month,1,0.1144,0.0743,0.0401,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,2,0.0424,0.0516,-0.0092,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,3,0.1568,0.0784,0.0783,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,4,0.072,0.1032,-0.0311,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,5,0.0636,0.1249,-0.0614,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,6,0.0593,0.0544,0.0049,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,7,0.0127,0.0399,-0.0272,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,8,0.0127,0.0118,0.0009,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,9,0.0636,0.0279,0.0356,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,10,0.1568,0.2231,-0.0663,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,11,0.1992,0.1641,0.035,0.1085,0.0266,0.2327,0.1638
category_vs_rest,handicap,rest,month,12,0.0466,0.0463,0.0003,0.1085,0.0266,0.2327,0.1638
category_vs_rest,pet,rest,month,1,0.0154,0.0743,-0.059,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,2,0.0585,0.0516,0.0069,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,3,0.0954,0.0784,0.017,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,4,0.0954,0.1032,-0.0078,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,5,0.1631,0.1249,0.0382,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,6,0.0277,0.0544,-0.0267,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,7,0.0646,0.0399,0.0247,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,8,0.0154,0.0118,0.0035,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,9,0.0,0.0279,-0.0279,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,10,0.1323,0.2231,-0.0908,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,11,0.2062,0.1641,0.042,0.4095,0.0426,0.3065,0.2182
category_vs_rest,pet,rest,month,12,0.1262,0.0463,0.0799,0.4095,0.0426,0.3065,0.2182
category_vs_rest,child,rest,month,1,0.1111,0.0743,0.0368,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,2,0.0,0.0516,-0.0516,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,3,0.0681,0.0784,-0.0103,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,4,0.1147,0.1032,0.0115,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,5,0.0717,0.1249,-0.0532,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,6,0.043,0.0544,-0.0114,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,7,0.0108,0.0399,-0.0291,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,8,0.0358,0.0118,0.024,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,9,0.0072,0.0279,-0.0208,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,10,0.2724,0.2231,0.0493,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,11,0.1971,0.1641,0.033,0.6007,0.0379,0.2106,0.215
category_vs_rest,child,rest,month,12,0.0681,0.0463,0.0218,0.6007,0.0379,0.2106,0.215
category_vs_category,handicap,pet,month,1,0.1144,0.0154,0.099,0.9078,0.0825,20198937.9316,0.3079
category_vs_category,handicap,pet,month,2,0.0424,0.0585,-0.0161,0.9078,0.0825,20198937.9316,0.3079
category_vs_category,handicap,pet,month,3,0.1568,0.0954,0.0614,0.9078,0.0825,20198937.9316,0.3079
