comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,cities_split,ABV,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ABZ,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ACC,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,AGP,0.0152,0.0008,0.0144,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ALC,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,AMM,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,AMS,0.0,0.0039,-0.0039,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ANU,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ARN,0.0,0.0008,-0.0008,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ATH,0.0152,0.0027,0.0125,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,ATL,0.0,0.0011,-0.0011,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,AUH,0.0,0.0006,-0.0006,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,AUS,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Aberdeen,0.0,0.002,-0.002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Abu Dhabi,0.0,0.0016,-0.0016,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Abuja,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Abuja Nigeria,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,"Abuja, Nigeria",0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Accra,0.0,0.0014,-0.0014,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,"Accra, Ghana",0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Ahmedabad,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Algiers,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Alicante,0.0152,0.0009,0.0142,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Amman,0.0,0.0011,-0.0011,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Amman Jordan,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Amsterdam,0.0,0.0055,-0.0055,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Anchorage,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Antalya,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Antigua,0.0,0.0016,-0.0016,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Arlanda Stockholm,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Athens,0.0,0.0046,-0.0046,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Athens Greece,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Atlanta,0.0,0.0013,-0.0013,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Auckland,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Austin,0.0,0.0016,-0.0016,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BAH,0.0,0.0006,-0.0006,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BAH / LHR,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BCN,0.0,0.0019,-0.0019,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BDA,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BFS,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BGI,0.0,0.0013,-0.0013,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BGO,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BHD,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BIO,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BKK,0.0,0.0052,-0.0052,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BLR,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BNE,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BOM,0.0,0.0009,-0.0009,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BOM-LHR,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BOS,0.0,0.0019,-0.0019,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,"BOS, SEA",0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BRI,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BRU,0.0,0.0006,-0.0006,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BSL,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BUD,0.0152,0.0009,0.0142,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,BWI,0.0,0.0006,-0.0006,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bahrain,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Baltimore,0.0,0.0009,-0.0009,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bangalore,0.0,0.0016,-0.0016,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bangkok,0.0,0.0049,-0.0049,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Barbados,0.0,0.0024,-0.0024,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Barcelona,0.0303,0.0039,0.0264,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bari,0.0,0.0009,-0.0009,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Basel,0.0,0.0006,-0.0006,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Beijing,0.0,0.0009,-0.0009,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Belfast,0.0,0.0043,-0.0043,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Belfast City,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bengaluru,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bergen,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bergerac,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Berlin,0.0,0.0038,-0.0038,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Berlin Tegel,0.0,0.0006,-0.0006,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bermuda,0.0,0.0005,-0.0005,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Biarritz,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bilbao,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Billund,0.0,0.0003,-0.0003,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,"Billund, Denmark",0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bodrum,0.0,0.0002,-0.0002,4.603,0.2762,6.6681,0.6012
category_vs_rest,handicap,rest,cities_split,Bologna,0.0,0.0016,-0.0016,4.603,0.2762,6.6681,0.6012
