comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,TypeOfTraveller,Business,0.1034,0.2188,-0.1153,0.1579,0.0384,0.4117,0.1973
category_vs_rest,handicap,rest,TypeOfTraveller,Couple Leisure,0.2414,0.3413,-0.0999,0.1579,0.0384,0.4117,0.1973
category_vs_rest,handicap,rest,TypeOfTraveller,Family Leisure,0.3448,0.1358,0.209,0.1579,0.0384,0.4117,0.1973
category_vs_rest,handicap,rest,TypeOfTraveller,Solo Leisure,0.3103,0.3041,0.0062,0.1579,0.0384,0.4117,0.1973
category_vs_rest,pet,rest,TypeOfTraveller,Couple Leisure,0.0,0.3413,-0.3413,0.0564,0.014,0.1345,0.1184
category_vs_rest,pet,rest,TypeOfTraveller,Solo Leisure,0.0,0.3041,-0.3041,0.0564,0.014,0.1345,0.1184
category_vs_rest,pet,rest,TypeOfTraveller,Business,0.0,0.2188,-0.2188,0.0564,0.014,0.1345,0.1184
category_vs_rest,pet,rest,TypeOfTraveller,Family Leisure,0.0,0.1358,-0.1358,0.0564,0.014,0.1345,0.1184
category_vs_rest,child,rest,TypeOfTraveller,Business,0.05,0.2188,-0.1688,0.9895,0.2244,3.4809,0.485
category_vs_rest,child,rest,TypeOfTraveller,Couple Leisure,0.1,0.3413,-0.2413,0.9895,0.2244,3.4809,0.485
category_vs_rest,child,rest,TypeOfTraveller,Family Leisure,0.775,0.1358,0.6392,0.9895,0.2244,3.4809,0.485
category_vs_rest,child,rest,TypeOfTraveller,Solo Leisure,0.075,0.3041,-0.2291,0.9895,0.2244,3.4809,0.485
category_vs_category,handicap,pet,TypeOfTraveller,Family Leisure,0.3448,0.0,0.3448,0.0866,0.0211,0.1367,0.1462
category_vs_category,handicap,pet,TypeOfTraveller,Solo Leisure,0.3103,0.0,0.3103,0.0866,0.0211,0.1367,0.1462
category_vs_category,handicap,pet,TypeOfTraveller,Couple Leisure,0.2414,0.0,0.2414,0.0866,0.0211,0.1367,0.1462
category_vs_category,handicap,pet,TypeOfTraveller,Business,0.1034,0.0,0.1034,0.0866,0.0211,0.1367,0.1462
category_vs_category,handicap,child,TypeOfTraveller,Business,0.1034,0.05,0.0534,0.423,0.1008,1.2343,0.3212
category_vs_category,handicap,child,TypeOfTraveller,Couple Leisure,0.2414,0.1,0.1414,0.423,0.1008,1.2343,0.3212
category_vs_category,handicap,child,TypeOfTraveller,Family Leisure,0.3448,0.775,-0.4302,0.423,0.1008,1.2343,0.3212
category_vs_category,handicap,child,TypeOfTraveller,Solo Leisure,0.3103,0.075,0.2353,0.423,0.1008,1.2343,0.3212
category_vs_category,pet,child,TypeOfTraveller,Family Leisure,0.0,0.775,-0.775,0.632,0.1484,1.789,0.3911
category_vs_category,pet,child,TypeOfTraveller,Couple Leisure,0.0,0.1,-0.1,0.632,0.1484,1.789,0.3911
category_vs_category,pet,child,TypeOfTraveller,Solo Leisure,0.0,0.075,-0.075,0.632,0.1484,1.789,0.3911
category_vs_category,pet,child,TypeOfTraveller,Business,0.0,0.05,-0.05,0.632,0.1484,1.789,0.3911
