comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_rest,handicap,rest,accommodation_type,,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Accommodation Reservations,0.0,0.0024,-0.0024,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Accommodations & Lodging,0.0101,0.006,0.0041,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Airport Consultants,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Airports,0.0,0.0002,-0.0002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Albion,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,American,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,American Restaurant,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,American restaurants,0.0,0.0021,-0.0021,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Apartment Hotels,0.0,0.0026,-0.0026,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Apartments,0.0,0.0006,-0.0006,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Arkansas (ar),0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Attractions,0.0,0.004,-0.004,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,B&bs / Inns,0.0,0.0002,-0.0002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Banking,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Banquet Halls and Reception Facilities,0.0,0.002,-0.002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Banquet Rooms,0.0,0.0013,-0.0013,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Banquet facilities,0.0,0.0035,-0.0035,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bar,0.0,0.0012,-0.0012,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bar and grill restaurants,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bars Clubs,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bars Pubs,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Beach,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Beach Hotels,0.0206,0.0095,0.0111,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Beauty salons,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed & Breakfast & Inns,0.0,0.0008,-0.0008,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed & Breakfasts,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed Breakfast,0.0,0.001,-0.001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed Breakfasts,0.0,0.0029,-0.0029,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed and Breakfast,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed and Breakfast and Inns,0.0,0.0002,-0.0002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Bed and breakfast,0.0,0.0011,-0.0011,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Boarding houses,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Boutique Hotels,0.0,0.0025,-0.0025,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Brewers,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Budget Hotels,0.0575,0.0466,0.0109,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Building,0.0019,0.0002,0.0017,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Business Hotels,0.0408,0.047,-0.0061,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Business Services,0.0,0.0006,-0.0006,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Cabins,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Cable Internet,0.0103,0.0008,0.0095,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Campgrounds,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Carpets and Rugs,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Casino,0.0,0.0004,-0.0004,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Casinos,0.0,0.0005,-0.0005,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Caterers,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Cereals,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Clubs,0.0,0.0002,-0.0002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Cocktail Bar,0.0,0.0012,-0.0012,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Coeur D'alene Hotels,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Concierge Service,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Condominium Management,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Condominium Operators,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Condominiums,0.0,0.0002,-0.0002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Conference Center,0.0,0.0004,-0.0004,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Conference Centers,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Conference Convention Centers,0.0,0.0018,-0.0018,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Conference Room,0.0,0.0042,-0.0042,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Conference centers and team building facilities,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Convention & Meeting Facilities & Services,0.0019,0.0001,0.0018,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Convention Center,0.0,0.0004,-0.0004,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Convention Services and Facilities,0.0,0.0002,-0.0002,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Convention information bureaus,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Convention services and facilities,0.0,0.0,-0.0,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Conventions,0.0,0.0001,-0.0001,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Corporate Housing,0.0066,0.0042,0.0024,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Corporate Lodging,0.0367,0.0187,0.018,2.1901,0.1072,0.7068,0.3796
category_vs_rest,handicap,rest,accommodation_type,Corporate housing,0.0,0.0003,-0.0003,2.1901,0.1072,0.7068,0.3796
